"nameCountry","periodLabel"
"United States of America","14th century"
"United States of America","14th century"
"United States of America","14th century"
"United States of America","14th century"
"United States of America","14th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","15th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","16th century"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
"United States of America","renaissance"
